,total_sqft
4457,1232
4458,1150
4459,1868
4460,1445
4461,1466
4463,3860
4464,1185
4472,1760
4475,1000
4476,1215
4477,1734
4479,1113
4481,1240
4484,896
4486,1200
4488,2790
4491,1500
4493,1096
4497,2987
4498,2503
4500,1550
4501,1830
4502,1746
4505,645
4506,1305
4507,1207
4508,1678
4509,950
4511,1070
4512,1732.46
4513,1639
4514,1360
4518,1656
4519,985
4521,1050
4523,1600
4524,1253
4528,1655
4530,1418
4531,1270
4532,1410
4537,1200
4538,1410
4539,1200
4542,1060
4543,3960
4547,950
4550,1235
4551,722
4552,2775
4553,1200
4555,1225
4557,705
4558,1880
4560,1550
4561,1893
4562,1650
4563,1113
4566,1586
4567,4000
4568,1541
4569,1830
4572,1015
4573,1120
4574,706
4577,1900
4579,3000
4580,1075
4581,1290
4582,1200
4583,1150
4587,1730
4594,3216
4596,1991
4597,1115
4598,1900
4599,1109
4600,2340
4602,4356
4603,1005
4604,416
4605,1394
4606,2138
4607,1550
4608,1300
4609,1265
4611,1050
4613,1012
4614,1600
4615,1326
4619,1700
4620,[]
4622,4960
4623,2254
4625,2462
4627,615
4629,575
4630,1025
4631,1758
4632,3179
4633,1342
4634,1800
4637,1608
4639,1410
4642,3800
4643,909
4645,1080
4647,1092
4648,1932
4649,1156
4651,1330
4652,1917
4653,985
4660,1785
4662,1645
4663,1235
4665,662
4667,1215
4668,845
4669,1525
4670,1000
4671,1255
4672,1560
4674,1620
4675,1595
4677,835
4678,2182
4681,2700
4682,1070
4685,755
4686,1645
4688,645
4692,919
4694,1346
4695,1070
4696,1225
4698,640
4701,1645
4702,1350
4703,1404
4704,1105
4705,900
4709,1948
4713,1252
4716,2600
4717,1300
4718,1130
4720,1690
4723,1020
4726,915
4727,1450
4728,2215
4729,2431
4730,1804
4731,1600
4732,1280
4733,1255
4734,1320
4735,1257
4736,1240
4738,1850
4739,1255
4741,1789
4743,660
4745,1155
4746,1235
4747,2675
4748,1025
4749,1395
4750,1530
4751,1252
4752,1081
4753,1255
4755,1220
4757,1180
4758,715
4759,1230
4760,1035
4761,3360
4762,1300
4763,1100
4764,1216
4766,705
4767,1385
4769,1310
4770,1043
4771,1320
4773,1140
4774,1100
4775,1586
4776,975
4777,1365
4778,1263
4779,1565
4780,1163
4781,2882
4782,2320
4783,1750
4784,1143
4785,1936
4786,660
4787,700
4789,4640
4790,1000
4791,1000
4792,818
4793,1680
4794,2422
4795,1145
4796,1190
4797,1145
4804,700
4805,950
4807,1085
4809,1165
4810,1000
4811,1169
4813,1840
4814,1550
4816,1457
4819,1500
4821,1165
4825,1430
4828,900
4830,1500
4832,780
4833,1220
4834,1110
4838,1130
4839,1213
4840,900
4841,1199
4845,661
4847,1710
4848,1030
4849,1220
4854,1751
4855,800
4856,1255
4857,1778
4858,1100
4859,1480
4860,1358
4861,580
4862,1197
4864,1705
4865,1310
4866,1132
4869,1575
4870,1302
4872,2006
4876,435
4877,1590
4878,1140
4879,1090
4880,1922
4881,965
4883,1062
4884,1089
4885,1358
4886,1108
4887,1197
4888,1190
4889,3754
4890,1749
4891,1750
4893,1449
4895,1400
4899,1750
4900,1450
4901,1810
4902,1246
4903,1420
4904,2658
4907,1367
4908,2254
4909,1160
4911,1711
4913,1120
4914,950
4915,1560
4919,1340
4920,1846
4922,1205
4923,1140
4924,1140
4925,1300
4926,1051
4928,2500
4930,1135
4933,1665
4934,1220
4939,1351
4940,1636
4942,1464
4943,418
4944,1339
4945,2370
4946,1530
4947,1100
4949,1290
4951,1846
4952,1847
4953,3100
4954,1430
4955,935
4958,1590
4962,3520
4967,1632
4968,1000
4969,1065
4970,1520
4971,1075
4973,1539
4974,1342
4975,1004
4976,1295
4977,1098
4980,1450
4981,654
4984,1046
4985,1950
4986,1610
4988,1151
4989,1125
4993,1850
4994,1174
5002,1314
5004,1010
5009,1520
5011,1067
5013,955
5014,1418
5017,1366
5018,1090
5019,1250
5022,1470
5025,1494
5026,1445
5027,1397
5028,606
5029,861
5031,2461
5032,1205
5037,4500
5038,1200
5039,1450
5040,1139
5041,1530
5043,1575
5044,650
5046,1700
5047,1090
5049,1200
5050,700
5051,1437
5054,1036
5056,1125
5058,2215
5059,660
5062,1804
5063,1795
5064,1050
5065,2100
5072,940
5073,1280
5074,2155
5075,3200
5077,1255
5078,1388
5079,905
5080,1176
5081,1390
5086,1583
5088,1170
5090,1075
5092,1486
5094,4830
5096,1282
5097,2790
5098,2383
5099,1103
5100,1577
5101,1465
5102,1600
5103,1090
5104,1721
5106,1450
5107,1071
5108,2266
5109,2065
5110,1800
5113,1123
5114,1884
5116,1145
5117,1328
5118,950
5120,1115
5121,1318
5132,1235
5133,1200
5135,1146
5140,1070
5143,3080
5145,1400
5146,1123
5148,787
5149,1082
5153,1130
5156,1269
5159,2689
5160,1976
5161,1820
5162,1329
5165,1205
5167,1339
5170,1100
5174,810
5178,1100
5179,[]
5182,1925
5184,3339
5185,1475
5189,1300
5191,1559
5194,1410
5196,1339
5198,1104
5200,1550
5201,670
5202,1483
5203,1540
5208,1460
5209,1230
5210,1340
5212,2162
5213,919
5215,1733
5216,1221
5218,2550
5221,710
5222,1500
5223,3122
5224,2061
5226,1255
5228,1031
5229,1210
5230,950
5232,1161
5233,1303
5234,1418
5237,1015
5239,1010
5240,1508
5241,1275
5242,1460
5244,1110
5245,1832
5246,1088
5247,1564
5248,1030
5250,1700
5256,999
5258,1300
5259,1265
5261,1974
5262,1180
5264,1560
5266,1085
5267,1300
5268,1600
5270,795
5273,1475
5275,1345
5277,1706
5278,2100
5280,1260
5282,1260
5283,1045
5285,[]
5287,1113
5288,2774
5289,1210
5291,1155
5292,1132
5293,1359
5296,600
5299,1009
5300,1800
5301,1226
5303,1363
5306,2792
5308,1060
5309,1200
5311,1495
5313,1440
5314,1545
5315,1470
5317,1450
5319,1650
5320,1095
5322,1143
5323,1349
5324,1280
5326,1216
5328,1290
5330,1156
5331,1230
5332,1070
5334,1235
5335,1117
5336,1724
5338,600
5339,1930
5340,1216
5341,1452
5342,1355
5344,2145
5345,957
5346,925
5347,1550
5350,1115
5351,1692
5353,1385
5354,760
5355,1335
5356,910
5357,1610
5358,1341
5360,1285
5367,2448
5369,500
5371,1255
5372,1040
5373,1062
5374,[]
5375,950
5376,1216
5377,1300
5379,1033
5380,1390
5382,[]
5383,1140
5384,670
5385,2171
5386,1136
5387,1477
5389,1040
5394,1070
5395,1253
5396,1190
5397,1312
5398,750
5399,1615
5401,1745
5404,1220
5405,1793
5407,1385
5409,2017
5410,400
5412,960
5413,1125
5414,1551
5418,1060
5419,1384
5420,620
5421,1005
5424,2400
5425,1096
5430,3563
5432,1685
5433,1580
5434,1210
5435,1030
5437,1255
5438,1482
5439,1344
5442,3300
5444,1320
5445,1532
5446,1245
5450,2257
5452,1080
5454,1360
5457,1418
5461,1400
5465,1175
5466,1185
5467,2250
5468,1178
5469,36000
5470,825
5472,1113.12
5473,1718
5474,1010
5475,900
5479,1194
5482,1108
5483,3895
5484,700
5487,1250
5489,1140
5491,985
5492,982
5493,600
5494,2640
5495,1314
5497,1077
5500,1643
5502,1116
5503,1020
5505,1740
5507,1241
5508,1041
5509,1050
5511,1309
5513,1430
5514,1065
5518,1548
5519,2302
5521,1525.84
5522,1200
5526,918
5527,1255
5532,1227
5533,1255
5535,1198
5537,188.89
5538,2600
5539,2072
5540,797
5541,1350
5543,2215
5544,525
5550,1006
5552,1128
5554,1310
5555,1390
5558,1170
5559,1385
5561,1160
5562,1200
5563,1475
5564,1939
5565,850
5566,675
5567,1060
5568,1235
5571,1460
5572,1690
5573,850
5574,1843
5575,1680
5576,1047
5580,1095
5582,1200
5583,1100
5584,1685
5586,1050
5587,1465
5589,630
5590,1850
5593,1350
5594,1760
5595,1440
5596,1200
5597,1100
5599,1617
5600,1410
5601,1434
5603,1160
5604,1343
5606,2246
5608,1305
5611,1550
5612,1345
5613,975
5614,1140
5615,1152
5618,1800
5621,1762
5622,560
5624,1410
5625,1853
5627,1138
5628,2556
5631,[]
5633,1870
5634,1199
5640,1047
5643,1302
5645,1645
5650,1766
5653,1221
5655,1278
5656,1025
5657,1175
5658,[]
5663,625
5665,937
5667,750
5669,1475
5672,900
5673,1116
5678,1760
5679,4400
5680,1914
5681,1820
5682,1820
5683,1565
5684,1334
5686,914
5688,2145
5691,3940
5694,1255
5695,2777.29
5696,1014
5698,695
5699,2273
5702,1180
5703,2400
5704,850
5705,1200
5707,1769
5708,[]
5709,1554
5712,905
5716,1435
5717,3405
5718,1620
5723,1025
5724,1430
5725,1235
5726,1291
5727,1498
5728,2180
5733,1123
5734,1235
5737,984
5738,1305
5741,2790
5742,2010
5744,1277
5746,1265
5750,1442
5751,1224
5753,1233
5755,1449
5756,1090
5759,1200
5761,1000
5762,2400
5763,1732
5764,1290
5766,1917
5767,1100
5769,2774
5771,1425
5772,1655
5773,2805
5779,1800
5781,2050
5782,530
5783,2585
5784,883
5786,1295
5787,1275
5790,1063
5791,656
5793,881
5795,700
5797,1680
5798,1253
5799,1640
5802,2100
5803,1070
5806,1125
5808,1210
5810,1500
5811,1652
5812,1381
5813,1085
5814,905
5815,1685
5816,1200
5817,1151
5818,3532
5819,1665
5820,800
5822,1030
5823,1257
5824,1600
5825,1465
5826,1650
5830,1300
5831,1000
5832,1146
5835,2159
5836,1255
5837,1130
5838,1200
5839,1040
5842,1180
5846,1374
5848,[]
5852,2384
5854,1200
5855,2017
5861,905
5862,1303
5864,1380
5865,1620
5867,1000
5873,1322
5875,1500
5876,1256
5877,941
5878,5000
5879,1665
5886,712
5887,2648
5890,1200
5894,1680
5896,1380
5897,1088
5898,1414
5904,1070
5905,1265
5907,1035
5908,[]
5911,1650
5915,1130
5920,2582
5925,2663
5926,1090
5927,1100
5928,1365
5929,1484
5930,1630
5931,1451
5932,1330
5933,2127
5936,1173
5939,1500
5940,2336
5941,1197
5944,1450
5945,1187
5948,1370
5949,1036
5951,2010
5953,1265
5954,1576
5956,1000
5957,1293
5959,1210
5960,1126
5962,1440
5963,1300
5964,1276
5966,1216
5969,1126
5971,1162
5972,1301
5973,658
5975,2500
5976,78.03
5977,1208.51
5978,1133
5979,1760
5980,1075
5981,940
5982,1145
5983,1302
5984,3900
5985,3317
5987,2475
5991,1216
5992,1459
5993,1622
5994,1843
5995,1274
5997,1430
5999,1565
6000,1670
6001,1695
6002,1410
6006,1083
6009,900
6011,693
6013,2435
6014,1920
6015,630
6016,1075
6018,705
6020,1532
6021,1330
6023,1530
6026,1630
6028,1200
6029,1595
6030,1000
6033,1000
6036,1000
6039,883
6041,1776
6042,1347
6043,1330
6046,1459
6047,2259
6050,1200
6051,2328
6053,660
6054,1800
6055,3100
6056,1405
6057,602
6058,1710
6059,1500
6060,1539
6062,1100
6063,1151
6065,1350
6066,1200
6069,1700
6072,1560
6074,1243
6076,1403
6078,1416
6081,1680
6082,1595
6083,1507
6085,1949
6087,1000
6089,2480
6093,1100
6097,3526
6098,1425
6100,550
6101,1385
6106,1783
6107,1520
6108,1060
6109,1267
6111,2500
6112,1240
6113,1570
6115,1355
6117,4075
6118,1550
6119,1100
6120,1750
6121,1466
6122,1550
6123,2300
6124,540
6125,950
6128,2880
6129,1987
6130,1305
6140,497
6141,1232
6142,1732
6143,1614
6144,600
6145,2072
6146,919
6150,1200
6152,1000
6153,1216
6154,2245
6155,1476
6156,1852
6158,1597
6159,2423
6160,1152
6162,1400
6163,1530
6165,1185
6166,1890
6171,830
6172,1165
6173,1100
6175,1685
6176,3131
6178,827
6181,635
6182,4000
6183,1050
6188,2850
6189,1751
6190,4750
6191,1020
6192,1148
6193,1856
6199,1325
6200,1261
6203,1675
6205,3260
6207,1160
6209,1914
6210,1458
6213,3035
6216,1556
6217,918
6218,1455
6222,1100
6223,1405
6224,929
6228,1065
6229,1532
6233,1250
6234,1680
6235,1146
6237,1451
6238,1424
6239,1435
6240,658
6242,1242
6244,1610
6245,1127
6249,1250
6250,2200
6252,876
6254,1314
6255,690
6257,1230
6258,920
6259,1850
6260,1073
6261,1540
6262,1550
6263,1198
6264,1656
6265,1900
6266,1910
6270,2172
6273,1548
6275,2856
6276,1689
6278,2119
6281,1100
6284,1250
6288,1500
6289,1942
6290,1985
6291,950
6293,1752
6296,1480
6298,1826
6302,934
6304,1620
6305,1070
6311,1012
6312,1611
6313,1405
6314,1515
6315,1830
6316,1710
6317,935
6321,1410
6322,1125
6323,1191
6325,1525
6329,600
6330,645
6331,1185
6332,1190
6334,2856
6335,1355
6339,500
6340,1250
6342,3300
6344,1206
6345,1357
6347,909
6348,3000
6349,1100
6352,975
6353,1306
6355,610
6356,1484
6357,1125
6358,1447
6359,2882
6362,1250
6366,840
6367,2502
6368,583
6373,750
6374,1600
6375,1365
6378,1260
6379,1190
6380,2480
6383,1510
6385,1120
6386,1115
6387,1717
6391,1465
6394,1255
6396,1065
6398,1281
6399,1210
6400,1215
6402,1237
6403,1300
6404,1105
6405,1505
6407,1186
6409,750
6410,1083
6412,1056
6413,2108
6414,1650
6415,1220
6416,1198
6417,1190
6421,2940
6424,1260
6425,2254
6426,2990
6428,820
6429,1296
6431,1173
6433,1102
6438,1519
6439,1345
6440,1594
6441,1250
6442,1056
6446,1464
6448,861
6449,1047
6453,2300
6454,1000
6455,1682
6460,814
6461,1145
6462,965
6464,1300
6465,1590
6466,644
6467,982
6469,1555
6472,1085
6473,1640
6474,1595
6475,1196
6476,1859
6477,1079
6479,1118
6480,1198
6482,1830
6483,1160
6485,2070
6487,957
6489,1268
6490,1450
6491,1600
6492,1330
6493,1355
6495,1100
6500,900
6501,1140
6504,2106
6509,1660
6510,1549
6511,700
6512,1012
6513,1469
6514,1216
6515,1065
6516,1411
6517,1400
6518,1250
6520,1115
6521,1000
6522,1580
6523,1800
6524,1500
6525,645
6527,1494
6528,1949
6529,1020
6530,883
6535,1240
6537,1835
6541,945
6542,1504
6543,1569
6544,1755
6547,1450
6548,1000
6551,1215
6554,1178
6555,1500
6556,2040
6558,1602
6560,1194
6561,1800
6563,1700
6564,1200
6565,1500
6566,1240
6570,1280
6571,1560
6574,2400
6575,900
6577,1850
6578,1831
6580,1320
6581,1272
6583,1820
6584,1075
6587,[]
6588,1140
6596,1805
6598,1355
6603,1716
6608,937
6609,1490
6610,4856
6611,4003
6612,1100
6613,1000
6615,1047
6617,1420
6619,1550
6622,1553
6623,920
6624,1740
6626,1724
6627,1020
6631,1200
6632,1140
6634,550
6635,1450
6637,700
6639,1050
6642,1492
6643,2856
6644,1489
6646,1140
6647,1431
6648,1682
6649,1198
6650,3664
6651,1550
6655,539
6658,1200
6660,1186
6661,1039
6664,2520
6665,1225
6666,1350
6667,1030
6670,1520
6672,1391
6673,1200
6676,1322
6677,2173
6678,1200
6682,[]
6683,1250
6684,1025
6687,1435
6688,1175
6690,900
6692,3170
6693,1602
6694,1220
6695,2500
6696,2145
6697,960
6698,907
6699,1210
6701,1230
6702,1350
6703,1150
6704,1404
6707,1285
6708,1018
6711,1600
6712,1480
6715,1435
6718,1590
6722,1741
6723,1750
6725,1027
6726,596
6727,3463
6729,2790
6730,1000
6731,1120
6734,1570
6735,1500
6736,1315
6737,1140
6738,1105
6740,905
6742,1185
6744,1458
6745,1555
6746,1200
6747,1308
6748,1024
6749,1194
6751,1639
6752,1870
6753,1232
6754,1719
6755,975
6757,1230
6762,2120
6765,1096
6766,1107.83
6768,1320
6769,1431
6770,1320
6771,2901
6772,1315
6773,1000
6774,1596
6776,2403
6777,1350
6782,1713
6783,1200
6786,1795
6787,600
6789,1965
6792,1200
6796,914
6802,1485
6803,1460
6804,1450
6805,1360
6807,1125
6809,1460
6810,1107
6814,1760
6821,1600
6823,1755
6824,1200
6826,1266.67
6831,4800
6832,1029
6833,1128
6836,2710
6837,1151
6840,1017
6841,920
6844,1750
6845,1163
6846,1650
6847,1800
6848,1100
6850,1410
6852,1200
6853,1608
6857,770
6858,1777.26
6859,1339
6861,1080
6864,1450
6866,1163
6870,1299
6874,2600
6875,1140
6876,1900
6878,1110
6879,705
6880,1089
6882,1080
6883,1093
6885,1703
6886,1200
6887,1690
6888,1305
6891,1194
6897,2225
6898,1022
6900,1153
6902,1560
6905,1350
6908,800
6909,2093
6911,1275
6912,1215
6914,1444
6915,950
6919,1231
6921,1713
6924,1310
6925,790
6926,1744
6928,1250
6929,2476
6930,1260
6931,1615
6934,1025
6935,1877
6936,1649
6940,1418
6941,1012
6944,1680
6945,1171
6946,1027
6948,1090
6949,1232
6952,525
6953,142.61
6955,1254
6957,1593
6958,1333
6960,1375
6961,1650
6962,1430
6963,940
6964,435
6965,1160
6966,1500
6967,1890
6972,3000
6973,1459
6974,1711
6975,1250
6976,645
6982,1776
6983,2072
6984,1600
6986,920
6987,[]
6989,1631
6990,525
6991,1395
6992,2000
6993,1232
6995,1205
6997,2340
6998,1179
6999,1013
7000,1160
7002,1200
7006,1069
7007,1200
7009,1065
7010,1395
7011,1725
7012,1007
7015,1645
7017,940
7019,2850
7028,675
7029,1390
7030,1500
7031,2047
7032,1202
7033,1012
7034,2132
7037,1331
7041,1800
7043,1280
7044,1007
7045,1370
7046,925
7048,450
7050,1341
7052,992
7053,1163
7054,1229
7056,1219
7057,1525
7058,1147
7059,1412
7062,1190
7064,1352
7066,1330
7068,1355
7069,1200
7072,1615
7076,1080
7077,1600
7078,1200
7081,1605
7084,1200
7091,1230
7096,946
7098,1711
7100,950
7101,1656
7102,1075
7107,665
7109,1145
7110,1185
7112,1693
7113,2456
7114,2559
7115,1155
7124,1200
7125,1439
7129,1315
7132,1178
7134,1400
7135,1093
7136,1200
7138,1200
7140,1150
7143,1173
7144,1140
7145,1717
7147,1370
7148,1025
7150,1200
7151,1200
7152,1740
7153,1232
7155,5924
7156,1250
7157,1475
7158,2100
7164,1067
7165,1364
7170,1504
7172,2365
7177,1333
7180,1698
7182,1060
7187,1310
7191,1693
7192,1230
7193,1200
7196,1385
7197,1066
7198,2293
7205,1000
7206,907
7208,1395
7209,1180
7213,1490
7214,1144
7216,1143
7217,2500
7218,1216
7219,1044
7220,1352
7222,1785
7224,1650
7226,1060
7228,1523
7229,1591
7230,1640
7231,450
7232,1305
7234,1240
7237,1180
7239,845
7241,1310
7245,883
7247,1390
7249,1280
7251,1614
7255,950
7257,1141
7258,1200
7260,855
7261,645
7262,922
7264,1240
7266,1293
7268,1599
7269,967
7270,1885
7273,1050
7274,1595
7275,1350
7276,1204
7278,1035
7280,1457
7283,1655
7285,1215
7286,1155
7287,1639
7288,1685
7290,1100
7291,2122
7293,1230
7295,1252
7297,500
7299,1355
7301,1350
7302,4003
7304,1560
7305,1151
7307,1250
7308,1110
7309,1015
7310,1351
7311,960
7313,1680
7314,2400
7315,11000
7316,1350
7317,1254
7318,1255
7319,1051
7321,1099
7322,2650
7324,1541
7325,1200
7326,1125
7327,1650
7328,834
7329,1320
7332,1500
7333,4400
7336,1180
7337,1010
7342,1920
7344,1040
7345,1430
7347,650
7348,1564
7352,1128
7353,1200
7357,1650
7359,1200
7361,985
7362,1475
7363,3450
7364,1157
7365,900
7369,3800
7371,1950
7372,1570
7373,1283
7374,875
7379,3630
7380,990
7381,1199
7384,1190
7387,1133
7388,2400
7391,1565
7393,1080
7395,1240
7396,1335
7401,1140
7402,1700
7405,435
7406,1116
7407,1480
7408,1000
7409,1145
7410,800
7411,1265
7412,1700
7413,1475
7414,1265
7416,2180
7417,1080
7418,2023
7420,1545
7421,1804
7424,1108
7425,1730
7426,1427
7427,935
7428,1073
7429,960
7430,2215
7431,1125
7434,1080
7437,1590
7438,1350
7440,1560
7441,1810
7442,2274.24
7443,1484
7444,1650
7445,1455
7446,2280
7449,1351
7451,1430
7452,3589
7453,1310
7456,984
7457,1770
7460,1447
7464,1296
7465,1570
7466,1495
7467,1530
7469,1800
7470,1088
7471,1533
7473,1540
7475,1040
7478,1180
7479,1245
7485,1124
7487,1100
7488,1019
7489,1756
7490,1280
7493,2134
7494,1369
7497,2515
7498,2215
7499,1440
7500,1186
7502,1800
7503,1600
7504,1000
7506,1305
7507,1740
7509,1567
7510,1082
7513,3500
7514,1220
7521,1170
7522,1670
7523,2264
7525,1100
7527,1320
7529,1125
7532,1300
7533,1600
7534,1052
7536,1130
7538,2200
7539,1500
7540,1350
7541,1230
7542,1520
7543,525
7544,1040
7546,2690
7547,780
7548,1140
7549,1225
7550,646
7552,1890
7555,1458
7559,1007
7560,1105
7561,1700
7562,1170
7563,1080
7564,1150
7565,1200
7567,1656
7569,1040
7570,1085
7573,1100
7575,1050
7577,1920
7579,947.55
7580,1421
7582,1425
7583,1162
7584,905
7585,914
7588,3500
7591,1537
7594,2250
7595,2000
7599,950
7601,1282
7604,1220
7605,1636
7606,1415
7607,[]
7608,1728
7609,1680
7610,1235
7613,1495
7615,2501
7616,381
7617,3301
7618,2002
7619,3200
7626,1450
7627,1039
7628,1210
7629,995
7630,1620
7631,3204
7632,3408
7633,1314
7634,945
7635,1374
7636,1603
7637,1230
7639,1864
7640,2500
7641,1625
7642,1186
7644,770
7645,1085
7646,3754
7647,1893
7649,1496
7650,1305
7651,1550
7653,1494
7654,1286
7656,1860
7658,1243
7659,1200
7660,1044
7661,1040
7664,1278
7666,1250
7671,1157
7672,1185
7673,1450
7674,1859
7675,1763
7676,900
7677,1305
7679,[]
7681,1150
7682,1806
7683,1027
7684,1002
7685,1220
7686,1109
7687,1002
7688,1308
7689,1232
7694,1255
7695,1434
7696,925
7697,1858
7698,1205
7699,1500
7702,965
7705,1636
7706,1724
7707,1216
7708,654
7712,1636
7713,1195
7714,2400
7717,1546
7718,3385
7722,1475
7723,3000
7725,1007
7734,909
7736,1400
7739,1150
7740,2990
7741,1310
7742,1590
7743,1645
7745,1795
7747,[]
7748,925
7750,3746
7751,1430
7752,1020
7754,1140
7756,2470
7757,850
7759,1697
7761,1120
7768,1492
7769,1498
7770,3500
7771,1010
7772,1255
7773,1050
7774,1847
7777,2144
7778,750
7779,919
7780,1087
7781,1480
7784,1221
7786,2072
7789,1640
7790,1253
7791,1061
7793,1250
7794,1585
7795,1452
7796,1015
7797,2464
7799,1116
7801,4000
7802,3900
7803,1300
7804,1419
7805,1310
7806,2072
7807,1240
7809,1820
7813,1315
7814,1410
7815,1375
7816,1299
7817,993
7821,1255
7822,1655
7823,2830
7825,550
7827,1634
7830,1500
7832,3750
7834,1295
7835,1320
7842,840
7843,[]
7844,1693
7846,1305
7847,450
7848,705
7854,1779
7855,10200
7856,870
7857,1595
7858,525
7861,2000
7862,1614
7864,1150
7866,1610
7868,1050
7869,4800
7870,1460
7873,1569
7875,645
7879,1350
7880,2780
7882,1109
7883,2000
7885,1215
7887,2273
7893,1225
7894,5200
7896,1984
7897,2425
7899,1127
7903,1000
7905,1350
7907,1175
7908,655
7909,1311
7911,1000
7913,1050
7916,1520
7918,1333
7919,600
7920,1326
7922,1370
7923,1100
7927,950
7930,1804
7931,1257
7932,650
7933,1850
7937,1630
7938,1310
7941,1000
7944,1370
7946,1465
7948,1128
7949,1250
7950,1645
7952,2600
7956,1215
7958,1400
7960,845
7962,3854
7964,1199
7965,1175
7967,1767
7968,1800
7969,1856
7971,1613
7974,1375
7975,985
7978,605
7981,1200
7982,1000
7983,1159
7987,1540
7989,1850
7990,1580
7991,1190
8000,1880
8001,1150
8007,1962
8010,1174
8011,1894
8013,1760
8015,1790
8018,2540
8019,1137
8022,1568
8023,4920
8024,1308
8026,1200
8028,530
8029,873
8033,2072
8034,2273
8036,760
8038,2072
8040,1550
8041,1251
8042,1070
8044,1435
8045,1400
8046,2330
8047,1200
8049,1655
8052,1175
8053,1155
8054,1200
8055,1149
8057,3200
8059,1718
8061,1330
8062,1200
8063,1693
8064,1249
8065,1800
8067,1020
8070,1280
8073,933
8074,1150
8075,3633
8076,1380
8079,1303
8080,1196
8084,1419
8085,1200
8087,[]
8088,1245
8089,3978
8090,1093
8092,1345
8094,1180
8095,1020
8097,3621
8100,1020
8101,2095
8102,1362
8103,694
8104,1404
8110,985
8111,850
8115,1367
8116,1210
8120,1140
8121,1095
8122,782
8123,1435
8124,725
8125,1600
8127,3205
8131,1243
8132,1703
8134,1145
8135,1216
8136,1100
8137,2425
8139,1196
8140,1600
8141,1510
8142,3033
8146,1480
8150,1630
8152,1410
8153,1181
8155,1691
8159,1300
8160,1356
8161,1338
8163,1280
8164,1531
8167,1605
8168,1917
8171,1400
8172,2625
8174,2041
8175,2070
8176,1110
8177,1650
8178,3565
8180,1142
8182,1502
8183,1176
8187,5400
8189,1425
8191,1345
8193,1830
8204,1160
8206,2000
8207,1125
8208,3900
8209,1133
8210,1240
8211,1466
8212,3870
8213,1610
8215,1225
8216,1300
8217,1996
8219,1800
8221,1435
8223,1601
8224,1257
8225,3596
8226,1309
8228,1115
8229,1870
8232,1185
8233,1790
8234,3450
8236,[]
8237,5400
8239,1000
8240,1183
8241,1282
8245,1200
8246,1151
8247,1320
8250,1847
8251,1020
8255,1160
8256,2805
8257,1360
8258,1089
8259,1115
8262,1536
8264,1571
8266,1517
8267,664
8268,1230
8269,1340
8270,1175
8274,1470
8276,1680
8278,1071
8280,3435
8282,1190
8283,1550
8284,1283
8285,1325
8286,1105
8287,1600
8291,2099
8292,1365
8293,1485
8294,1250
8297,1328
8298,1232
8300,1350
8303,1020
8304,1410
8305,2159
8308,1255
8309,1074
8310,1200
8311,1170
8312,[]
8317,1601
8320,2700
8321,1900
8323,1520
8326,1432
8329,2251
8330,1050
8331,1100
8333,1565
8337,1652
8339,2340
8340,1084
8342,1400
8344,1020
8345,1267
8346,2439
8351,5000
8354,1086
8355,416
8356,1066
8357,1730
8358,1205
8359,2500
8360,960
8361,1510
8363,2300
8374,1998
8376,1262
8377,1842
8381,1012
8383,1394
8384,1450
8385,527
8386,1693
8387,3122
8388,1000
8392,1410
8393,1400
8395,1826
8396,1689
8397,1075
8402,1300
8403,1804
8405,1836
8406,826
8407,1200
8411,1200
8412,965
8414,1395
8415,1660
8417,1180
8419,1204
8420,2072
8421,1056
8422,985
8426,2317
8429,656
8430,400
8431,666
8433,1174
8434,1153
8438,910
8441,1843
8443,1230
8444,3197
8445,1703
8446,1125
8447,1516
8448,1130
8449,3596
8450,1512
8451,1491
8452,1250
8454,1140
8457,1100
8458,2666
8463,1345
8464,1200
8465,3230
8467,2750
8471,1025
8473,973
8475,2533
8476,1007
8477,[]
8483,1000
8484,1285
8485,662
8486,2297
8488,1850
8492,1567
8493,1695
8495,1150
8496,1690
8498,1057
8499,1320
8500,2119
8501,1125
8503,645
8505,1040
8506,1700
8508,1138
8509,984
8510,1140
8511,3596
8514,1404
8516,1050
8518,1550
8519,1653
8520,1194
8521,1471
8523,812
8524,1504
8526,957
8527,460
8529,1050
8530,1820
8538,1550
8539,1392
8540,1221
8541,1000
8543,1065
8544,1209
8547,1929
8548,1255
8549,1035
8551,1650
8552,1275
8553,1128
8554,1140
8556,1183
8557,1155
8560,1040
8564,1525
8566,1220
8567,2388
8568,1355
8570,1046
8572,1247
8573,3855
8575,1120
8577,1798
8578,1180
8579,1000
8580,1216
8583,1842
8584,1075
8585,1495
8586,1700
8587,1564
8588,1256
8589,1047
8590,1458
8591,1063
8595,1360
8598,1810
8603,1025
8604,980
8608,2050
8609,1407
8610,4170
8611,1585
8612,1785
8613,900
8615,1843
8617,1200
8619,1125
8622,770
8623,1181
8626,1295
8628,1506
8630,2900
8631,1326
8634,1020
8642,1500
8644,1180
8646,2215
8648,1350
8650,1450
8651,1133
8652,1564
8654,2072
8656,1460
8661,654
8662,1105
8663,1800
8666,1000
8668,1240
8670,1400
8674,1640
8678,2496
8679,905
8682,8400
8687,1495
8689,1400
8691,1007
8693,1054
8695,996
8699,1394
8700,1243
8701,1216
8702,1075
8704,1500
8706,1500
8707,1800
8709,1726
